SEAS,YR,ANOM_seas,3mo_avg,diff
DJF,1975,-0.12,-0.12666666666666668,0.006666666666666682
JFM,1975,-0.13,-0.12999999999999998,-2.7755575615628914e-17
FMA,1975,-0.29,-0.29,0.0
MAM,1975,-0.42,-0.41999999999999993,-5.551115123125783e-17
AMJ,1975,-0.61,-0.61,0.0
MJJ,1975,-0.73,-0.7333333333333334,0.0033333333333334103
JJA,1975,-0.87,-0.8733333333333334,0.0033333333333334103
JAS,1975,-0.88,-0.8766666666666666,-0.0033333333333334103
ASO,1975,-0.98,-0.9833333333333334,0.0033333333333334103
SON,1975,-0.95,-0.9466666666666667,-0.0033333333333332993
OND,1975,-1.02,-1.0166666666666666,-0.0033333333333334103
NDJ,1975,-1.11,-1.1133333333333333,0.0033333333333331883
DJF,1976,-1.0,-1.0033333333333334,0.0033333333333334103
JFM,1976,-0.65,-0.65,0.0
FMA,1976,-0.26,-0.25666666666666665,-0.003333333333333355
MAM,1976,-0.14,-0.13999999999999999,-2.7755575615628914e-17
AMJ,1976,0.01,0.013333333333333327,-0.003333333333333327
MJJ,1976,0.27,0.27,0.0
JJA,1976,0.52,0.5166666666666666,0.0033333333333334103
JAS,1976,0.72,0.7233333333333333,-0.0033333333333332993
ASO,1976,0.89,0.8933333333333334,-0.0033333333333334103
SON,1976,1.04,1.0433333333333334,-0.0033333333333334103
OND,1976,1.05,1.05,0.0
NDJ,1976,1.08,1.08,0.0
DJF,1977,0.96,0.9566666666666667,0.0033333333333332993
JFM,1977,0.89,0.89,0.0
FMA,1977,0.46,0.45999999999999996,5.551115123125783e-17
MAM,1977,0.32,0.3233333333333333,-0.0033333333333332993
AMJ,1977,0.25,0.25666666666666665,-0.006666666666666654
MJJ,1977,0.51,0.5166666666666666,-0.006666666666666599
JJA,1977,0.48,0.48000000000000004,-5.551115123125783e-17
JAS,1977,0.48,0.48,0.0
ASO,1977,0.62,0.6166666666666668,0.0033333333333331883
SON,1977,0.89,0.8866666666666667,0.0033333333333332993
OND,1977,1.1,1.1033333333333335,-0.0033333333333334103
NDJ,1977,1.05,1.0566666666666666,-0.006666666666666599
DJF,1978,0.96,0.96,0.0
JFM,1978,0.71,0.7100000000000001,-1.1102230246251565e-16
FMA,1978,0.26,0.25666666666666677,0.0033333333333332438
MAM,1978,-0.07,-0.0666666666666666,-0.0033333333333334103
AMJ,1978,-0.33,-0.3266666666666666,-0.0033333333333334103
MJJ,1978,-0.25,-0.2466666666666666,-0.0033333333333334103
JJA,1978,-0.32,-0.32333333333333325,0.0033333333333332438
JAS,1978,-0.27,-0.2733333333333332,0.0033333333333331883
ASO,1978,-0.27,-0.27333333333333326,0.0033333333333332438
SON,1978,-0.08,-0.08333333333333326,0.0033333333333332577
OND,1978,0.15,0.15000000000000008,-8.326672684688674e-17
NDJ,1978,0.27,0.2666666666666668,0.0033333333333332438
DJF,1979,0.35,0.34666666666666673,0.0033333333333332438
JFM,1979,0.3,0.3033333333333334,-0.0033333333333334103
FMA,1979,0.3,0.3033333333333334,-0.0033333333333334103
MAM,1979,0.23,0.22666666666666677,0.0033333333333332438
AMJ,1979,0.13,0.1300000000000001,-8.326672684688674e-17
MJJ,1979,0.03,0.030000000000000072,-7.28583859910259e-17
JJA,1979,0.04,0.046666666666666745,-0.006666666666666744
JAS,1979,0.26,0.2633333333333334,-0.0033333333333334103
ASO,1979,0.41,0.4133333333333334,-0.0033333333333334103
SON,1979,0.52,0.5200000000000001,-1.1102230246251565e-16
OND,1979,0.52,0.52,0.0
NDJ,1979,0.64,0.6366666666666667,0.0033333333333332993
DJF,1980,0.65,0.65,0.0
JFM,1980,0.45,0.45,0.0
FMA,1980,0.25,0.25333333333333335,-0.003333333333333355
MAM,1980,0.14,0.14000000000000004,-2.7755575615628914e-17
AMJ,1980,0.27,0.2766666666666667,-0.00666666666666671
MJJ,1980,0.28,0.2833333333333334,-0.003333333333333355
JJA,1980,0.14,0.14000000000000004,-2.7755575615628914e-17
JAS,1980,-0.1,-0.09999999999999998,-2.7755575615628914e-17
ASO,1980,-0.18,-0.17999999999999997,-2.7755575615628914e-17
SON,1980,-0.06,-0.05999999999999996,-3.469446951953614e-17
OND,1980,0.14,0.1433333333333334,-0.0033333333333333826
NDJ,1980,0.09,0.09000000000000002,-2.7755575615628914e-17
DJF,1981,-0.03,-0.026666666666666634,-0.003333333333333365
JFM,1981,-0.18,-0.17666666666666664,-0.003333333333333355
FMA,1981,-0.28,-0.27999999999999997,-5.551115123125783e-17
MAM,1981,-0.24,-0.2433333333333333,0.0033333333333332993
AMJ,1981,-0.3,-0.3,0.0
MJJ,1981,-0.26,-0.25999999999999995,-5.551115123125783e-17
JJA,1981,-0.23,-0.22666666666666666,-0.003333333333333355
JAS,1981,-0.16,-0.15666666666666665,-0.003333333333333355
ASO,1981,-0.02,-0.026666666666666634,0.006666666666666633
SON,1981,-0.17,-0.1733333333333333,0.0033333333333332993
OND,1981,-0.21,-0.20999999999999996,-2.7755575615628914e-17
NDJ,1981,-0.08,-0.07999999999999996,-4.163336342344337e-17
DJF,1982,0.11,0.1066666666666667,0.0033333333333332993
JFM,1982,0.22,0.2266666666666667,-0.00666666666666671
FMA,1982,0.23,0.2333333333333334,-0.0033333333333333826
MAM,1982,0.46,0.4633333333333334,-0.003333333333333355
AMJ,1982,0.74,0.7400000000000001,-1.1102230246251565e-16
MJJ,1982,0.84,0.8366666666666668,0.0033333333333331883
JJA,1982,0.89,0.8933333333333335,-0.0033333333333335213
JAS,1982,1.14,1.1366666666666667,0.0033333333333331883
ASO,1982,1.64,1.6400000000000003,-4.440892098500626e-16
SON,1982,2.03,2.0300000000000002,-4.440892098500626e-16
OND,1982,2.24,2.24,0.0
NDJ,1982,2.36,2.36,0.0
DJF,1983,2.4,2.396666666666667,0.0033333333333329662
JFM,1983,2.15,2.15,0.0
FMA,1983,1.67,1.6700000000000002,-2.220446049250313e-16
MAM,1983,1.3,1.2966666666666669,0.0033333333333331883
AMJ,1983,0.87,0.8700000000000001,-1.1102230246251565e-16
MJJ,1983,0.47,0.46666666666666684,0.0033333333333331328
JJA,1983,0.03,0.03333333333333349,-0.0033333333333334936
JAS,1983,-0.23,-0.2266666666666665,-0.0033333333333335213
ASO,1983,-0.59,-0.5933333333333332,0.0033333333333331883
SON,1983,-0.9,-0.903333333333333,0.0033333333333329662
OND,1983,-1.1,-1.1066666666666665,0.0066666666666663765
NDJ,1983,-0.96,-0.9599999999999999,-1.1102230246251565e-16
DJF,1984,-0.63,-0.6266666666666665,-0.0033333333333335213
JFM,1984,-0.52,-0.5166666666666665,-0.0033333333333335213
FMA,1984,-0.45,-0.4566666666666664,0.0066666666666663765
MAM,1984,-0.59,-0.5933333333333332,0.0033333333333331883
AMJ,1984,-0.62,-0.6233333333333331,0.0033333333333330772
MJJ,1984,-0.51,-0.5066666666666665,-0.0033333333333335213
JJA,1984,-0.32,-0.3199999999999998,-2.220446049250313e-16
JAS,1984,-0.17,-0.1699999999999998,-2.220446049250313e-16
ASO,1984,-0.28,-0.2733333333333331,-0.006666666666666932
SON,1984,-0.61,-0.6066666666666665,-0.0033333333333335213
OND,1984,-0.88,-0.8833333333333332,0.0033333333333331883
NDJ,1984,-0.93,-0.9299999999999997,-3.3306690738754696e-16
DJF,1985,-0.83,-0.8366666666666663,0.0066666666666663765
JFM,1985,-0.68,-0.6799999999999997,-3.3306690738754696e-16
FMA,1985,-0.75,-0.7499999999999997,-3.3306690738754696e-16
MAM,1985,-0.76,-0.7599999999999998,-2.220446049250313e-16
AMJ,1985,-0.77,-0.7699999999999997,-3.3306690738754696e-16
MJJ,1985,-0.55,-0.5466666666666664,-0.0033333333333336324
JJA,1985,-0.33,-0.3299999999999998,-2.220446049250313e-16
JAS,1985,-0.2,-0.19666666666666646,-0.003333333333333549
ASO,1985,-0.16,-0.15999999999999978,-2.220446049250313e-16
SON,1985,-0.18,-0.17666666666666644,-0.003333333333333549
OND,1985,-0.14,-0.13666666666666646,-0.003333333333333549
NDJ,1985,-0.21,-0.20999999999999977,-2.220446049250313e-16
DJF,1986,-0.26,-0.2599999999999998,-2.220446049250313e-16
JFM,1986,-0.27,-0.2699999999999998,-2.220446049250313e-16
FMA,1986,-0.19,-0.18666666666666645,-0.003333333333333549
MAM,1986,-0.14,-0.1399999999999998,-2.220446049250313e-16
AMJ,1986,-0.11,-0.10666666666666645,-0.003333333333333549
MJJ,1986,-0.01,-0.006666666666666442,-0.0033333333333335586
JJA,1986,0.26,0.26000000000000023,-2.220446049250313e-16
JAS,1986,0.57,0.5666666666666669,0.0033333333333330772
ASO,1986,0.79,0.786666666666667,0.0033333333333330772
SON,1986,1.0,0.9933333333333335,0.0066666666666664876
OND,1986,1.22,1.2133333333333336,0.0066666666666663765
NDJ,1986,1.42,1.416666666666667,0.0033333333333329662
DJF,1987,1.46,1.4600000000000002,-2.220446049250313e-16
JFM,1987,1.35,1.3500000000000003,-2.220446049250313e-16
FMA,1987,1.14,1.1466666666666667,-0.006666666666666821
MAM,1987,0.93,0.9333333333333336,-0.0033333333333335213
AMJ,1987,0.85,0.8466666666666668,0.0033333333333331883
MJJ,1987,0.94,0.9433333333333335,-0.0033333333333335213
JJA,1987,1.11,1.1133333333333335,-0.0033333333333334103
JAS,1987,1.3,1.3033333333333335,-0.0033333333333334103
ASO,1987,1.34,1.336666666666667,0.0033333333333331883
SON,1987,1.2,1.2033333333333334,-0.0033333333333334103
OND,1987,0.98,0.9833333333333334,-0.0033333333333334103
NDJ,1987,0.8,0.7966666666666669,0.0033333333333331883
